"FILE","DB_NAME","DB_ID","INSTANCE","INST_NUM","STARTUP_TIME","RELEASE","RAC","HOST_NAME","PLATFORM","CPUS","CORES","SOCKETS","MEMORY (GB)","B_Y","B_MO","B_D","B_H","B_MI","B_S","E_Y","E_MO","E_D","E_H","E_MI","E_S","Snap Time","Load","%busy","%user","%sys","%idle","%iowait"
"db03bs1-20200217_160039-00036421-00036422.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","16","0","39","2020","2","17","17","0","4","17-Feb 16:00:39","2.23","","","","",""
"db03bs1-20200217_160039-00036421-00036422.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","16","0","39","2020","2","17","17","0","4","17-Feb 17:00:04","1.94","22.42","14.17","6.49","77.58","0.16"
"db03bs1-20200217_170004-00036422-00036423.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","17","0","4","2020","2","17","18","0","11","17-Feb 17:00:04","1.94","","","","",""
"db03bs1-20200217_170004-00036422-00036423.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","17","0","4","2020","2","17","18","0","11","17-Feb 18:00:11","1.94","25.80","17.44","7.06","74.20","0.14"
"db03bs1-20200217_180011-00036423-00036424.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","18","0","11","2020","2","17","19","0","2","17-Feb 18:00:11","1.94","","","","",""
"db03bs1-20200217_180011-00036423-00036424.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","18","0","11","2020","2","17","19","0","2","17-Feb 19:00:02","1.69","16.00","9.53","4.99","84.00","0.15"
"db03bs1-20200217_190002-00036424-00036425.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","19","0","2","2020","2","17","20","0","10","17-Feb 19:00:02","1.69","","","","",""
"db03bs1-20200217_190002-00036424-00036425.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","19","0","2","2020","2","17","20","0","10","17-Feb 20:00:10","1.53","15.53","9.13","4.83","84.47","0.16"
"db03bs1-20200217_200010-00036425-00036426.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","20","0","10","2020","2","17","21","0","17","17-Feb 20:00:10","1.53","","","","",""
"db03bs1-20200217_200010-00036425-00036426.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","20","0","10","2020","2","17","21","0","17","17-Feb 21:00:17","1.91","18.55","11.59","5.40","81.45","0.17"
"db03bs1-20200217_210017-00036426-00036427.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","21","0","17","2020","2","17","22","0","25","17-Feb 21:00:17","1.91","","","","",""
"db03bs1-20200217_210017-00036426-00036427.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","21","0","17","2020","2","17","22","0","25","17-Feb 22:00:25","1.64","16.14","9.39","5.19","83.86","0.13"
"db03bs1-20200217_220025-00036427-00036428.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","22","0","25","2020","2","17","23","0","33","17-Feb 22:00:25","1.64","","","","",""
"db03bs1-20200217_220025-00036427-00036428.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","22","0","25","2020","2","17","23","0","33","17-Feb 23:00:33","2.39","16.73","9.99","5.17","83.27","0.14"
"db03bs1-20200217_230033-00036428-00036429.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","23","0","33","2020","2","18","0","0","40","17-Feb 23:00:33","2.39","","","","",""
"db03bs1-20200217_230033-00036428-00036429.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","23","0","33","2020","2","18","0","0","40","18-Feb 00:00:40","1.78","16.96","9.99","5.46","83.04","0.16"
"db03bs1-20200218_000040-00036429-00036430.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","18","0","0","40","2020","2","18","1","0","0","18-Feb 00:00:40","1.78","","","","",""
"db03bs1-20200218_000040-00036429-00036430.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","18","0","0","40","2020","2","18","1","0","0","18-Feb 01:00:00","6.48","17.54","9.94","5.90","82.46","0.15"
"db03bs1-20200218_010000-00036430-00036431.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","18","1","0","0","2020","2","18","2","0","7","18-Feb 01:00:00","6.48","","","","",""
"db03bs1-20200218_010000-00036430-00036431.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","18","1","0","0","2020","2","18","2","0","7","18-Feb 02:00:07","1.67","13.66","7.26","4.78","86.34","0.14"
"db03bs1-20200218_020007-00036431-00036432.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","18","2","0","7","2020","2","18","3","0","2","18-Feb 02:00:07","1.67","","","","",""
"db03bs1-20200218_020007-00036431-00036432.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","18","2","0","7","2020","2","18","3","0","2","18-Feb 03:00:02","1.87","11.64","5.93","4.20","88.36","0.15"
"db03bs1-20200218_030002-00036432-00036433.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","18","3","0","2","2020","2","18","4","0","9","18-Feb 03:00:02","1.87","","","","",""
"db03bs1-20200218_030002-00036432-00036433.html","DB03BS","2633216536","db03bs1","1","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v1.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","18","3","0","2","2020","2","18","4","0","9","18-Feb 04:00:09","1.67","11.10","5.79","4.18","88.90","0.14"
"db03bs2-20200217_080033-00036413-00036414.html","DB03BS","2633216536","db03bs2","2","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v2.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","8","0","33","2020","2","17","9","0","3","17-Feb 08:00:33","3.65","","","","",""
"db03bs2-20200217_080033-00036413-00036414.html","DB03BS","2633216536","db03bs2","2","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v2.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","8","0","33","2020","2","17","9","0","3","17-Feb 09:00:03","2.18","40.54","29.80","8.65","59.46","0.13"
"db03bs2-20200217_090003-00036414-00036415.html","DB03BS","2633216536","db03bs2","2","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v2.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","9","0","3","2020","2","17","10","0","11","17-Feb 09:00:03","2.18","","","","",""
"db03bs2-20200217_090003-00036414-00036415.html","DB03BS","2633216536","db03bs2","2","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v2.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","9","0","3","2020","2","17","10","0","11","17-Feb 10:00:11","1.57","25.48","16.83","6.84","74.52","0.16"
"db03bs2-20200217_100011-00036415-00036416.html","DB03BS","2633216536","db03bs2","2","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v2.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","10","0","11","2020","2","17","11","0","18","17-Feb 10:00:11","1.57","","","","",""
"db03bs2-20200217_100011-00036415-00036416.html","DB03BS","2633216536","db03bs2","2","30-Apr-19 07:04","12.1.0.2.0","YES","eoeo03v2.ekiban.local","Linux x86 64-bit","4","4","1","70.94","2020","2","17","10","0","11","2020","2","17","11","0","18","17-Feb 11:00:18","2.36","21.25","13.26","6.26","78.75","0.14"
